"Date","Price","Open","High","Low","Change %"
"11-03-2026","1.811","1.813","1.814","1.808","0.17%"
"10-03-2026","1.808","1.808","1.814","1.805","-3.83%"
"09-03-2026","1.880","1.830","1.880","1.793","4.62%"
"06-03-2026","1.797","1.825","1.825","1.785","0.11%"
"05-03-2026","1.795","1.868","1.868","1.788","-0.22%"
"04-03-2026","1.799","1.828","1.828","1.789","3.99%"
"03-03-2026","1.730","1.831","1.831","1.730","-3.94%"
"02-03-2026","1.801","1.882","1.882","1.793","-1.58%"
"28-02-2026","1.830","1.882","1.882","1.793","0.05%"
"27-02-2026","1.829","1.857","1.917","1.805","0.27%"
"26-02-2026","1.824","1.850","1.850","1.809","0.50%"
"25-02-2026","1.815","1.831","1.831","1.789","0.89%"
"24-02-2026","1.799","1.827","1.827","1.791","-0.61%"
"14-02-2026","1.810","1.808","1.827","1.775","-0.11%"
"13-02-2026","1.812","1.808","1.827","1.775","1.51%"
"12-02-2026","1.785","1.830","1.830","1.777","-0.94%"
"11-02-2026","1.802","1.805","1.821","1.796","-0.28%"
"10-02-2026","1.807","1.839","1.839","1.795","-0.17%"
"09-02-2026","1.810","1.839","1.839","1.796","0.17%"
"06-02-2026","1.807","1.805","1.807","1.801","-0.44%"
