"Date","Price","Open","High","Low","Vol.","Change %"
"11-03-2026","6.8616","6.8795","6.8776","6.8600","","-0.27%"
"10-03-2026","6.8799","6.8862","6.8972","6.8601","","-0.09%"
"09-03-2026","6.8863","6.9045","6.9344","6.8854","","-0.30%"
"06-03-2026","6.9070","6.9179","6.9199","6.8885","","-0.16%"
"05-03-2026","6.9178","6.8940","6.9287","6.8778","","0.35%"
"04-03-2026","6.8939","6.9178","6.9355","6.8883","","-0.35%"
"03-03-2026","6.9179","6.9011","6.9439","6.8744","","0.24%"
"02-03-2026","6.9012","6.8787","6.9138","6.8613","","0.57%"
"27-02-2026","6.8621","6.8445","6.8704","6.8383","","0.26%"
"26-02-2026","6.8445","6.8547","6.8568","6.8260","","-0.17%"
"25-02-2026","6.8560","6.8797","6.8824","6.8504","","-0.34%"
"24-02-2026","6.8797","6.8894","6.8969","6.8720","","-0.14%"
"23-02-2026","6.8894","6.8983","6.9001","6.8817","","-0.12%"
"20-02-2026","6.8979","6.9002","6.9066","6.8950","","-0.03%"
"19-02-2026","6.9002","6.8918","6.9060","6.8890","","0.13%"
"18-02-2026","6.8912","6.8856","6.8945","6.8817","","0.09%"
"17-02-2026","6.8848","6.8840","6.8940","6.8804","","0.02%"
"16-02-2026","6.8836","6.9020","6.9059","6.8803","","-0.25%"
"13-02-2026","6.9008","6.8986","6.9116","6.8957","","0.04%"
"12-02-2026","6.8980","6.9089","6.9092","6.8906","","-0.16%"
"11-02-2026","6.9089","6.9132","6.9200","6.9052","","-0.07%"
"10-02-2026","6.9134","6.9153","6.9191","6.9043","","-0.03%"
"09-02-2026","6.9152","6.9301","6.9339","6.9141","","-0.22%"
"06-02-2026","6.9304","6.9401","6.9423","6.9291","","-0.15%"
"05-02-2026","6.9411","6.9412","6.9482","6.9331","","0.01%"
"04-02-2026","6.9404","6.9345","6.9439","6.9283","","0.08%"
"03-02-2026","6.9347","6.9426","6.9445","6.9304","","-0.11%"
"02-02-2026","6.9424","6.9584","6.9634","6.9369","","-0.23%"
"30-01-2026","6.9587","6.9448","6.9622","6.9429","","0.20%"
"29-01-2026","6.9448","6.9435","6.9553","6.9376","","0.02%"
"28-01-2026","6.9437","6.9329","6.9494","6.9305","","0.15%"
"27-01-2026","6.9332","6.9487","6.9574","6.9310","","-0.23%"
"26-01-2026","6.9489","6.9483","6.9571","6.9427","","0.00%"
"23-01-2026","6.9492","6.9641","6.9673","6.9473","","-0.21%"
